step,time,loss,acc
16450,2019-05-06T16:42:35.458695,4.729597e-02,9.765625e-01
16500,2019-05-06T16:42:37.252768,1.486775e-02,9.921875e-01
16550,2019-05-06T16:42:39.102472,5.440105e-02,9.843750e-01
16600,2019-05-06T16:42:40.897569,1.941211e-02,9.921875e-01
16650,2019-05-06T16:42:42.706037,1.293364e-02,1.000000e+00
16700,2019-05-06T16:42:44.502301,7.341544e-02,9.687500e-01
16750,2019-05-06T16:42:46.304877,2.332446e-02,1.000000e+00
16800,2019-05-06T16:42:48.109270,2.884820e-02,9.843750e-01
16850,2019-05-06T16:42:49.909493,5.130923e-02,9.687500e-01
16900,2019-05-06T16:42:51.709764,3.280018e-02,9.843750e-01
16950,2019-05-06T16:42:53.515736,6.760184e-02,9.765625e-01
17000,2019-05-06T16:42:55.320480,5.526210e-02,9.921875e-01
17050,2019-05-06T16:42:57.169719,1.019265e-02,9.921875e-01
17100,2019-05-06T16:42:58.973982,4.991525e-03,1.000000e+00
17150,2019-05-06T16:43:00.771558,1.937186e-02,9.921875e-01
17200,2019-05-06T16:43:02.571201,8.158518e-02,9.765625e-01
17250,2019-05-06T16:43:04.368367,1.396379e-02,1.000000e+00
17300,2019-05-06T16:43:06.261371,2.419304e-02,9.843750e-01
17350,2019-05-06T16:43:08.061528,5.413653e-02,9.843750e-01
17400,2019-05-06T16:43:09.864368,1.641720e-02,9.921875e-01
17450,2019-05-06T16:43:11.665947,2.333545e-02,9.921875e-01
17500,2019-05-06T16:43:13.463192,5.509118e-02,9.921875e-01
17550,2019-05-06T16:43:15.315209,2.427852e-02,9.843750e-01
17600,2019-05-06T16:43:17.124957,1.114588e-02,1.000000e+00
17650,2019-05-06T16:43:18.940866,2.353483e-02,9.921875e-01
17700,2019-05-06T16:43:20.777852,2.072417e-02,9.921875e-01
17750,2019-05-06T16:43:22.606082,6.955234e-03,1.000000e+00
17800,2019-05-06T16:43:24.430445,6.367189e-02,9.765625e-01
17850,2019-05-06T16:43:26.228853,6.372765e-02,9.765625e-01
17900,2019-05-06T16:43:28.032186,7.552546e-03,1.000000e+00
17950,2019-05-06T16:43:29.827489,6.360041e-02,9.687500e-01
18000,2019-05-06T16:43:31.628202,1.133497e-02,1.000000e+00
18050,2019-05-06T16:43:33.478313,2.570305e-02,9.843750e-01
18100,2019-05-06T16:43:35.277354,1.921888e-02,9.921875e-01
18150,2019-05-06T16:43:37.089875,4.182277e-02,9.843750e-01
18200,2019-05-06T16:43:38.917532,7.350414e-02,9.765625e-01
18250,2019-05-06T16:43:40.753712,1.448528e-02,1.000000e+00
18300,2019-05-06T16:43:42.595316,5.343889e-02,9.921875e-01
18350,2019-05-06T16:43:44.431940,1.976568e-02,9.921875e-01
18400,2019-05-06T16:43:46.274045,1.221218e-02,1.000000e+00
18450,2019-05-06T16:43:48.114345,2.307148e-02,9.921875e-01
18500,2019-05-06T16:43:49.934870,6.457599e-03,1.000000e+00
18550,2019-05-06T16:43:51.786047,1.252411e-02,1.000000e+00
18600,2019-05-06T16:43:53.585532,1.584958e-02,9.921875e-01
18650,2019-05-06T16:43:55.388896,3.320821e-02,9.765625e-01
18700,2019-05-06T16:43:57.189684,1.606502e-02,9.921875e-01
18750,2019-05-06T16:43:58.988849,9.299667e-03,1.000000e+00
18800,2019-05-06T16:44:00.787695,7.264329e-02,9.843750e-01
18850,2019-05-06T16:44:02.587567,1.934101e-03,1.000000e+00
18900,2019-05-06T16:44:04.377409,5.863066e-02,9.843750e-01
18950,2019-05-06T16:44:06.173495,9.681878e-03,9.921875e-01
19000,2019-05-06T16:44:07.974328,3.220845e-02,9.843750e-01
19050,2019-05-06T16:44:09.818798,1.172217e-02,1.000000e+00
19100,2019-05-06T16:44:11.611403,2.566405e-02,9.921875e-01
19150,2019-05-06T16:44:13.410810,4.936113e-02,9.843750e-01
19200,2019-05-06T16:44:15.210830,1.733221e-02,9.921875e-01
19250,2019-05-06T16:44:16.996488,6.360827e-03,1.000000e+00
19300,2019-05-06T16:44:18.797372,2.733561e-02,9.843750e-01
19350,2019-05-06T16:44:20.594487,6.192617e-02,9.843750e-01
19400,2019-05-06T16:44:22.395823,2.518792e-02,9.921875e-01
19450,2019-05-06T16:44:24.196224,3.646455e-02,9.765625e-01
19500,2019-05-06T16:44:25.996613,1.852058e-02,9.921875e-01
19550,2019-05-06T16:44:27.925686,1.127714e-02,9.921875e-01
19600,2019-05-06T16:44:29.717729,1.031642e-02,1.000000e+00
19650,2019-05-06T16:44:31.519199,3.673921e-02,9.843750e-01
19700,2019-05-06T16:44:33.314625,1.797717e-02,9.921875e-01
19750,2019-05-06T16:44:35.111698,9.059723e-03,1.000000e+00
19800,2019-05-06T16:44:36.904779,3.924243e-02,9.843750e-01
19850,2019-05-06T16:44:38.694949,4.668786e-03,1.000000e+00
19900,2019-05-06T16:44:40.491458,4.871814e-02,9.687500e-01
19950,2019-05-06T16:44:42.295100,6.350645e-03,1.000000e+00
